x,c0,c1,c2,c3,c4,c5
1.087,10.534273072499508,8.003932266235932,7.926932630541006,17.408021883766548,-0.7253527708749717,-11.83614005295068
1.088,10.532586643416238,8.008900643147635,8.016034019792288,17.205342987853243,-0.6965998970674819,-11.8378925015666
1.089,10.52944173603048,8.011631046027842,8.102320863113615,16.878639011056713,-0.6680920587507355,-11.841105096924638
1.09,10.52930714691333,8.016564817340571,8.189899835506619,16.433740894577337,-0.6352592725804573,-11.84130920350058
1.091,10.529046764345743,8.020542109373366,8.275267872216649,15.87003155893672,-0.6011337137462707,-11.841640976060178
1.092,10.53213742663629,8.027019933948408,8.361532598601624,15.194495985868743,-0.5621311527573402,-11.838623504998743
1.093,10.535188367078872,8.032591656807853,8.444934569688616,14.408074906138904,-0.5215298119660653,-11.835647389766468
1.094,10.536388214973554,8.035433879247408,8.52329712421631,13.513955214110622,-0.48102052815625873,-11.834523773997164
1.095,10.535512894514403,8.035314238805887,8.596037270194218,12.517434467015601,-0.44069621028032696,-11.835476471319005
1.096,10.532569583631838,8.0322353956074,8.662812720956147,11.424439944786778,-0.4004061140027576,-11.838498012875544
1.097,10.529218092385596,8.027856543975851,8.724946415939305,10.242847535382055,-0.3583334379862919,-11.841928259650784
1.098,10.526298957826924,8.023021703902064,8.78295771040381,8.979936719106192,-0.3134665539021343,-11.844926291871307
1.099,10.52629986803807,8.020226305001966,8.839031701515001,7.644824410468393,-0.26313140593858636,-11.845003974520097
1.1,10.52797447239493,8.018236007814046,8.891640622999347,6.243106629096176,-0.20837003533514564,-11.843407154641246
1.101,10.528609898839202,8.014354035821743,8.937813535450172,4.779214943105598,-0.15166836613248436,-11.842848171222657
1.102,10.529257010912586,8.009651166107073,8.978368406862952,3.2617835486299303,-0.09172017573732226,-11.84227562982667
1.103,10.531524773005485,8.00575987300303,9.01470805578715,1.7005723371512973,-0.026626845063899146,-11.840080056729935
1.104,10.533126518684297,8.00042036752143,9.044367697712554,0.10208126038074167,0.041655619236694724,-11.838547646610644
1.105,10.534349624080042,7.993949986459213,9.067485571011911,-1.523974119591931,0.11379454203563379,-11.83739060736325
1.106,10.535488610133255,7.986676049691801,9.084236745740121,-3.1672548389056545,0.19052284690387195,-11.836314066957073
1.107,10.53737352597861,7.979464050945316,9.095362001017262,-4.816305776417923,0.27317770560016974,-11.834487689974921
1.108,10.537507021399893,7.969854547464936,9.098305161438649,-6.462466474940781,0.3598499740686024,-11.834408603057032
1.109,10.535051596139656,7.957050201368339,9.09220036319762,-8.094959848122752,0.4503869977419608,-11.836914143919497
1.11,10.533051401378454,7.9441374836238605,9.080093767802754,-9.698792408942731,0.5486319975473823,-11.838960045668397
1.111,10.532392469177875,7.932046925170741,9.06290363089292,-11.260975409810463,0.6564047016526572,-11.83966018045572
1.112,10.533388034997403,7.921138393333585,9.041005247314061,-12.769182367865401,0.7751142749040096,-11.838701220448936
1.113,10.535128104198304,7.910550460577488,9.01357987158109,-14.212691874298917,0.9051473320913321,-11.83699307337462
1.114,10.534775595300294,7.897496239122108,8.977909991460942,-15.583408528456362,1.0452160150202714,-11.837372752166619
1.115,10.534897338995618,7.8845940771158185,8.936709359467239,-16.86884169540004,1.1997563513217908,-11.837273385387684
1.116,10.531772885735965,7.868176143903248,8.886430824732388,-18.064065866312365,1.367324087751788,-11.840415408087381
1.117,10.526713186259867,7.849606949202142,8.828584026286913,-19.16060543195447,1.552028320452259,-11.845487872422064
1.118,10.520164526796023,7.829387260732741,8.763838437083411,-20.152456159973823,1.7577872342856709,-11.852044489319061
1.119,10.5121816890773,7.807627328596512,8.692495679909117,-21.03566066398615,1.9890077186055442,-11.860030439741767
1.12,10.503258097531367,7.784877126850578,8.615318855221119,-21.807465158874418,2.2517027566543413,-11.868952198362837
1.121,10.492040088523108,7.759840698764029,8.531245962628144,-22.468553355621722,2.5516114563607606,-11.880163242883434
1.122,10.483129372483942,7.737178694141634,8.44519152942605,-23.01518091355666,2.90257673952091,-11.889061574706432
1.123,10.479973137630699,7.720398513667185,8.360935849384482,-23.446238845424265,3.320250869466343,-11.892199600586657
1.124,10.479992728440818,7.70698273830189,8.2762524863284,-23.768118534848433,3.818377923678489,-11.892155477942413
1.125,10.480062437384705,7.693867270341916,8.188385407748903,-23.989280505262798,4.415799752775458,-11.89205438561662
1.1260000000000001,10.47815673756974,7.679087763634147,8.095694369610717,-24.118706497947063,5.13970114715269,-11.893921361005964
1.127,10.475668486628848,7.664097141865132,7.999971326884882,-24.163705103235475,6.028302712514505,-11.896363144661724
1.1280000000000001,10.475897318016413,7.652253516878468,7.904927240570726,-24.13151404546862,7.125187464343943,-11.896079807290677
1.129,10.478971969216378,7.643742109715114,7.8111128250400315,-24.03434897127211,8.460980465022445,-11.892942430380236
1.1300000000000001,10.482210387323985,7.635934842184722,7.716276849169558,-23.888798979432927,10.0333454490691,-11.889633020873049
1.131,10.485740503698707,7.6290105273764395,7.6209849096023525,-23.70967869359829,11.800679617189596,-11.886023761670517
1.1320000000000001,10.488421705553955,7.621875830000662,7.524538861831756,-23.513303302028756,13.685330568025774,-11.883255554229486
1.133,10.488930612129067,7.613250650052708,7.426060590020489,-23.31542691417371,15.589653536898153,-11.882652241624035
1.1340000000000001,10.490240804194226,7.606147643764959,7.328969849040374,-23.125793440603886,17.410990875033317,-11.88124085917877
