x,kuiz1,kuiz2,delta,theta,alpha,beta,beta1,beta2,gamma,total
10.524,2.6580391931829175e-10,2.3796069899647566e-09,1.3883960176622669e-10,1.1284230884615777e-09,6.648617108023145e-09,7.81718294686993e-09,5.088402792779338e-09,2.72878015409059e-09,2.1555096081125784e-09,1.8114334767205455e-08
10.774,1.8901857829802511e-10,3.268805773472587e-09,1.959479020414439e-10,2.3168921661718646e-09,7.593715502501835e-09,8.248119079078078e-09,4.976783406551681e-09,3.2713356725263952e-09,1.8812895976469343e-09,2.056308122448707e-08
11.024,2.2331560121644155e-10,5.363135341667695e-09,3.737445862315771e-10,3.5954253051100592e-09,7.540892042761207e-09,1.0743448793852752e-08,6.967917003871739e-09,3.7755317899810146e-09,1.612901119568398e-09,2.424242707844637e-08
11.274,2.775801473262822e-10,6.321172061485516e-09,5.660218835947073e-10,3.9728692791230035e-09,6.676372520986782e-09,1.331187685104044e-08,9.153554590638978e-09,4.1583222604014604e-09,1.5326663501143142e-09,2.6271181567447593e-08
11.524,2.433198173470838e-10,6.106166625927472e-09,4.84735276826718e-10,3.1647701911612125e-09,6.131851688655409e-09,1.4218075857156977e-08,1.0003468749041703e-08,4.214607108115273e-09,1.6579118647298369e-09,2.587297385449948e-08
11.774,2.2316779717294214e-10,7.331683684552557e-09,2.9575038367031564e-10,2.0918607874532125e-09,6.249739051220749e-09,1.4523914697478946e-08,1.0414859207773292e-08,4.109055489705656e-09,2.1523868346756533e-09,2.5599729562494325e-08
12.024,1.7084705291583676e-10,1.0675962401095542e-08,1.6223426304954688e-10,1.4975324649733871e-09,6.974415044722765e-09,1.6854655990912105e-08,1.2462009188658064e-08,4.392646802254034e-09,2.869726723049673e-09,2.860963278060244e-08
12.274,1.365538033285684e-10,1.4395533306172973e-08,1.0063850509275088e-10,1.3091226419651263e-09,9.562945405120136e-09,2.0138574844665926e-08,1.5198504115549697e-08,4.940070729116228e-09,3.1395792481786908e-09,3.45346040007998e-08
12.524,1.7454118999797842e-10,1.7505704062057978e-08,1.9166763131129237e-10,1.2184992971184668e-09,1.5041967249400675e-08,2.0680925753585746e-08,1.534916558071785e-08,5.331760172867895e-09,2.617886787454091e-09,3.9985273419630447e-08
12.774,3.2117520348596786e-10,1.8717178241706528e-08,3.434994200854436e-10,1.1526159397075761e-09,1.8928332107366752e-08,1.7509302629318132e-08,1.2270032498632117e-08,5.2392701306860175e-09,1.884793793928539e-09,4.000418288268448e-08
13.024,5.400149175494305e-10,1.5811895708331973e-08,5.004124859025581e-10,1.5185919412958084e-09,1.763826485646169e-08,1.2474041838538584e-08,7.894110964399085e-09,4.579930874139502e-09,1.67178012713256e-09,3.397119865237575e-08
13.274,8.337013565878936e-10,9.954308386305047e-09,5.110383953529486e-10,2.3164973594562283e-09,1.3269314388434024e-08,8.809548516992597e-09,4.640592995925674e-09,4.168955521066924e-09,2.0423223070389364e-09,2.7219927150750445e-08
13.524,1.0160859609111768e-09,5.886473726940642e-09,3.241700822123832e-10,2.9188974745019342e-09,9.772441383638965e-09,8.525456567515886e-09,3.4800203832002855e-09,5.0454361843156025e-09,2.5157070295684748e-09,2.445773611966574e-08
13.774,9.356890461063291e-10,6.238888442549163e-09,1.5958376527974114e-10,2.863518434647377e-09,7.980026150294041e-09,1.0901880265190718e-08,4.659864951817007e-09,6.242015313373713e-09,2.5696662086365695e-09,2.4785693510420452e-08
14.024,7.264423659694291e-10,8.016373990909114e-09,7.361421682298143e-11,2.254406955072778e-09,7.073784309615344e-09,1.3139408678735316e-08,7.270540142231602e-09,5.868868536503717e-09,2.160235242228923e-09,2.4910707630985064e-08
