x,kuiz1,kuiz2,delta,theta,alpha,beta,beta1,beta2,gamma,total
30.274,1.511906350544352e-09,8.475029572695993e-09,6.38370287893415e-10,1.6816504532208177e-07,8.483662218509566e-09,7.4300790481430264e-09,4.736565541542316e-09,2.6935135066007106e-09,1.8136746690698455e-09,1.869957698140195e-07
30.524,1.40396173841584e-09,1.1675079703455617e-08,1.1942667989039332e-09,1.9300625679423924e-07,1.270565934945436e-08,7.239544375774835e-09,4.574238605225491e-09,2.6653057705493465e-09,1.7764959406906914e-09,2.1615404980765556e-07
30.774,8.255474134023262e-08,1.54165078586104e-08,9.238837022360149e-08,2.2883542216700085e-07,2.3612738724908177e-08,7.0907556160066325e-09,4.525441142630932e-09,2.565314473375703e-09,1.8093966254814786e-09,3.804409186603611e-07
31.024,8.286299248323406e-07,2.0645056779929153e-08,1.2649182386494014e-06,3.905931257750363e-07,7.078816723652042e-08,1.4106282520283011e-08,1.1243309918037436e-08,2.8629726022455796e-09,1.8686402402853365e-09,2.1674223905378468e-06
31.274,3.5901787603818433e-06,6.699251152374892e-08,4.646164909880607e-06,9.143077313419918e-07,1.896748662555885e-07,6.809913612612553e-08,6.066055628408026e-08,7.438579842045298e-09,1.9237871354071137e-09,6.945902057738086e-06
31.524,8.957013676602882e-06,2.330377230552974e-07,1.0170828353714936e-05,1.870848167592635e-06,3.680184654991853e-07,2.0758930949254453e-07,1.8826227530043987e-07,1.9327034192104663e-08,2.050301266431224e-09,1.3838081911341549e-05
31.774,1.5083124734745776e-05,4.818206637708537e-07,1.5780422700715387e-05,2.8320840144533123e-06,5.478787029821298e-07,3.7509997128660786e-07,3.424119174346906e-07,3.268805385191726e-08,2.2120969390425036e-09,1.9981637917654614e-05
32.024,1.9048833679553432e-05,6.519469107632335e-07,1.9033989956748265e-05,3.3961237864634753e-06,6.58457144978718e-07,4.746023597685712e-07,4.37162709132064e-07,3.743965063650727e-08,2.1852173959406914e-09,2.3615864294876526e-05
32.274,2.031969615434589e-05,6.828596021650447e-07,2.0270790911751545e-05,3.579950839639115e-06,6.75330438090889e-07,4.947373732237332e-07,4.6169335036226046e-07,3.304402286147277e-08,1.9116455408290973e-09,2.502362600649248e-05
32.524,2.0698354052744798e-05,6.345385257683208e-07,2.0608453568980937e-05,3.707136844402304e-06,6.26632636234234e-07,4.983057291722583e-07,4.7012061362916356e-07,2.818511554309462e-08,1.5675240608021618e-09,2.54476030133612e-05
32.774,2.0724858296628005e-05,5.703025925205867e-07,2.0495882926903762e-05,3.977533200000268e-06,5.68199077772028e-07,5.054625706759253e-07,4.785901626959508e-07,2.6872407979974707e-08,1.343880444192806e-09,2.555133073809125e-05
33.024,2.0304505322181787e-05,4.972927694382825e-07,1.9774597665229164e-05,4.345314061047097e-06,5.556531717353604e-07,4.782767286318184e-07,4.518031703356043e-07,2.6473558296214172e-08,1.3386741655872986e-09,2.515683269143647e-05
33.274,1.9797517177766155e-05,4.585313026758701e-07,1.8864129516108275e-05,4.74141180863311e-06,6.087878095807817e-07,4.277437921145404e-07,4.0132973177477885e-07,2.6414060339761505e-08,1.472075827676804e-09,2.4643819387841724e-05
33.524,1.978650937764812e-05,4.808185824950278e-07,1.881770748123465e-05,4.765596588105798e-06,6.502048913397851e-07,4.366898668677419e-07,4.085449107743431e-07,2.8144956093398767e-08,1.6150703653115534e-09,2.468222792817482e-05
33.774,2.02491016340932e-05,5.084367936080734e-07,1.94945127155121e-05,4.612836359756723e-06,6.14893237284524e-07,5.162076622421059e-07,4.847544661603072e-07,3.1453196081798614e-08,1.781071066609691e-09,2.525665488738253e-05
34.024,2.0776313967869646e-05,5.075652872490299e-07,1.9978838093448242e-05,4.68982670610038e-06,5.743434139202764e-07,5.488376735419855e-07,5.151379350660646e-07,3.369973847592102e-08,1.9453082793527725e-09,2.5803816030414838e-05
34.274,2.0906926542488904e-05,4.979900042021868e-07,1.9676628739971687e-05,5.092854792689275e-06,5.972590664897646e-07,4.670852026027444e-07,4.3519101916132363e-07,3.189418344142081e-08,1.9763670228521165e-09,2.5844789713071753e-05
34.524,2.0867002779204976e-05,4.864248382296525e-07,1.9199017874340978e-05,5.515816628598868e-06,6.373437385123235e-07,3.5078976846867793e-07,3.244563365619799e-07,2.6333431906698077e-08,1.8922349760813274e-09,2.5705901161147774e-05
34.774,2.1046608111096534e-05,4.62710741030283e-07,1.929047128506763e-05,5.698851357170414e-06,6.24889755937926e-07,3.123840556362212e-07,2.908047490523568e-07,2.1579306583864336e-08,1.8630442745886604e-09,2.5930047241737e-05
35.024,2.1154013925143537e-05,4.594184826819992e-07,1.955167187092865e-05,5.686995833692794e-06,5.884851445010802e-07,3.318685180600748e-07,3.10595902358618e-07,2.1272615701456873e-08,1.8952040828964132e-09,2.616332013561244e-05
35.274,2.0645490163236158e-05,5.060764754850072e-07,1.919211263855898e-05,5.7832006918576726e-06,5.732531781968861e-07,3.4337700708457533e-07,3.2006496654324133e-07,2.3312040541334095e-08,1.917292856643405e-09,2.5894059486067022e-05
35.524,1.9184897909113535e-05,5.304863414969983e-07,1.8015132779263803e-05,6.071095416174041e-06,5.281712203720789e-07,3.5037228408104867e-07,3.2605696749128007e-07,2.431531658976865e-08,1.9763717973092605e-09,2.4970200032488105e-05
35.774,1.6947425614363732e-05,4.73851927671795e-07,1.6811708911038425e-05,6.312705851082457e-06,4.2568719764925366e-07,3.7097139431472734e-07,3.4904596974840306e-07,2.1925424566324212e-08,2.039437530676055e-09,2.3929761353824824e-05
36.024,1.458534971370236e-05,3.846742380671905e-07,1.620609529850241e-05,6.107993940225594e-06,3.4138837024898695e-07,3.683185904570746e-07,3.5150909263753136e-07,1.6809497819543193e-08,1.9372298349950213e-09,2.3028275259215842e-05
36.274,1.3158834053760707e-05,3.4991770959929085e-07,1.6088049331890182e-05,5.934797685674317e-06,3.133762606143605e-07,3.522028320152516e-07,3.387854291489625e-07,1.3417402866289112e-08,1.6945843577406398e-09,2.2694902338926167e-05
36.524,1.3502252221644666e-05,3.8584908680479676e-07,1.628231257377655e-05,6.1697697996304754e-06,3.105170581540612e-07,3.6195533074050833e-07,3.4715695519701823e-07,1.4798375543490078e-08,1.5817617311210344e-09,2.3130984239450308e-05
36.774,1.4564560698679374e-05,4.1929818366894795e-07,1.6541377989932556e-05,6.188044827372993e-06,2.9954746792368337e-07,3.7145356979561067e-07,3.5512722459443557e-07,1.6326345201175143e-08,1.6493425016407605e-09,2.345755523787578e-05
37.024,1.3248604605919186e-05,3.6333524015486294e-07,1.494676723826554e-05,5.004642994953544e-06,2.584573177863399e-07,3.0522480810739303e-07,2.9156163049386694e-07,1.3663177613526074e-08,1.6453039614241206e-09,2.0621800800222955e-05
37.274,8.480691091222162e-06,2.126569897539677e-07,1.0022194180356004e-05,2.835984110880278e-06,1.6689409084242564e-07,1.7275902452927465e-07,1.6467417829648328e-07,8.084846232791367e-09,1.5148367097394116e-09,1.336806599752874e-05
37.524,3.3082111626050098e-06,7.264327670088748e-08,4.200205608603574e-06,9.629897680171548e-07,6.596687418267663e-08,5.9570607910176085e-08,5.576079688467982e-08,3.809811025496266e-09,1.4872714455249711e-09,5.473669444242011e-06
37.774,5.739541744136486e-07,8.764061167272848e-09,7.903869578203076e-07,1.436087316653638e-07,1.064119056674763e-08,9.933369078313237e-09,8.050519515219269e-09,1.8828495630939707e-09,1.6400316252513683e-09,1.0179158739833207e-06
38.024,4.499963237914443e-08,4.3722413201104896e-10,5.63471397608535e-08,8.0471797579361e-09,9.922301291820846e-10,2.831174805096499e-09,1.3342151395372105e-09,1.49695966555929e-09,1.7717130509215156e-09,7.143255216236067e-08
38.274,2.20286759550293e-08,3.624576160692438e-10,2.267953983577005e-08,5.495183068294967e-09,9.498273304424905e-10,2.381074337268744e-09,9.286876925672341e-10,1.4523866447015094e-09,1.7391889610487947e-09,3.40485896112247e-08
38.524,2.0766022974280416e-08,5.218428060509285e-10,2.2633933301987913e-08,5.64049999418385e-09,1.104755954413131e-09,2.6702879053664654e-09,9.176460791563014e-10,1.752641826210164e-09,1.6756169169069676e-09,3.457623868423285e-08
38.774,2.1653271469479313e-08,9.94492689097256e-10,2.2258723587283947e-08,6.189539115869248e-09,1.6645752692614467e-09,3.356267732268563e-09,1.1375816108827095e-09,2.2186861213858543e-09,1.8142186853334063e-09,3.825674574463324e-08
39.024,1.9862943521095466e-08,1.522029607414301e-09,1.7764838935399132e-08,7.807225293107437e-09,2.5383457194770357e-09,4.062682622023334e-09,1.589771948825163e-09,2.4729106731981704e-09,2.077194528727036e-09,3.897807282006116e-08
39.274,1.8806374624239535e-08,1.6556011034810644e-09,1.5159720915312665e-08,1.1141732942150577e-08,2.937549842362426e-09,4.9560104023261e-09,2.4287708828931584e-09,2.5272395194329424e-09,2.1497214415890517e-09,4.008538071149779e-08
39.524,1.977286773106987e-08,1.420102516385352e-09,1.5312874658368295e-08,1.3920993566396031e-08,2.894082084999349e-09,5.5770406371326445e-09,3.1043321675298535e-09,2.472708469602792e-09,1.9266679341613393e-09,4.457939200113534e-08
39.774,1.9208856848130368e-08,1.2643256226613292e-09,1.586251504793628e-08,1.3620020602507276e-08,3.1285367326580975e-09,5.0561370224319534e-09,2.8115385105527156e-09,2.2445985118792374e-09,1.6307474940313337e-09,4.463502886154411e-08
40.024,1.8129673208319812e-08,1.340180832843047e-09,1.5756959355651734e-08,1.2949721690793373e-08,3.4905609908806633e-09,3.7879218404848335e-09,1.937407051021086e-09,1.8505147894637472e-09,1.4951078483248947e-09,3.96772846186807e-08
40.274,1.7574127168614293e-08,1.4591629714677848e-09,1.3358190942213575e-08,1.4051334417708543e-08,3.3342219334552197e-09,2.9440233747929713e-09,1.4623404362086229e-09,1.4816829385843489e-09,1.5377389527254842e-09,3.586637881020597e-08
40.524,1.5460256244415516e-08,1.5610992263677734e-09,1.071923787543381e-08,1.3839852588608454e-08,2.926707347752527e-09,2.662883865163739e-09,1.4474933172516515e-09,1.2153905479120878e-09,1.698706646886535e-09,3.250505438265712e-08
40.774,1.3243235946527555e-08,1.964832780090467e-09,1.0203646471791521e-08,1.1943242247053786e-08,2.9688278028465275e-09,2.4579643678109797e-09,1.4210148323220946e-09,1.036949535488885e-09,1.8435148372099587e-09,3.027078989116367e-08
41.024,1.373721478123754e-08,2.6480248731718577e-09,1.2015076378989976e-08,1.2369938196628368e-08,3.407166309648088e-09,2.4887551935556444e-09,1.342873097386518e-09,1.1458820961691262e-09,1.8292065074560343e-09,3.318839937289613e-08
41.274,2.0043524411244595e-08,3.1495679949904198e-09,1.862675861980008e-08,1.5905889602827275e-08,3.980706870586213e-09,2.9551162238106095e-09,1.4535148386342451e-09,1.5016013851763646e-09,1.719951191796359e-09,4.353999652982681e-08
41.524,2.8024218116579828e-08,3.648382474444635e-09,2.7844994724825628e-08,1.853419339451327e-08,4.479602184729589e-09,3.892327638824265e-09,2.0987382167630694e-09,1.7935894220611956e-09,1.7563374723166097e-09,5.703878062714675e-08
41.774,2.9047635864455888e-08,4.005511175514387e-09,3.068816381125875e-08,1.6803944099140973e-08,4.492089014918504e-09,4.769741709130549e-09,2.8626385205289952e-09,1.9071031886015524e-09,2.0543085591760407e-09,6.007277299832384e-08
42.024,2.244385840635304e-08,3.735799974571223e-09,2.4082663540877352e-08,1.1775308527351857e-08,4.279476264657179e-09,4.6975239406216534e-09,2.7601912888965364e-09,1.9373326517251166e-09,2.3005639178056067e-09,4.8248216433877783e-08
42.274,1.5268003633681805e-08,2.83112574164111e-09,1.5457557429110438e-08,7.795592985921863e-09,4.728539920781642e-09,3.990735946328213e-09,2.0135674480142104e-09,1.9771684983140025e-09,2.158934828768792e-09,3.627808945043729e-08
42.524,1.3061404064296853e-08,2.4733749500575726e-09,1.1885069742485792e-08,6.822731912586135e-09,6.112393888341643e-09,4.169853704259119e-09,2.1454984566533545e-09,2.0243552476057633e-09,1.7996660075216059e-09,3.403651939266032e-08
42.774,1.1901345073623393e-08,2.8118960216481303e-09,1.1105458476445694e-08,6.066388067532908e-09,7.539563447289381e-09,5.398488291335199e-09,3.2848713465422234e-09,2.113616944792975e-09,1.6024400402678153e-09,3.3319016707765405e-08
43.024,9.026047472331008e-09,2.756695877558529e-09,8.750957356240587e-09,4.890822417261438e-09,7.880300468598644e-09,6.370838480495783e-09,4.154688491837396e-09,2.2161499886583844e-09,1.5905017888854367e-09,2.9722566651036185e-08
43.274,7.896116144911077e-09,2.33682423517848e-09,6.917598680930112e-09,6.0915740371845875e-09,6.916704607133531e-09,6.364636431463728e-09,4.142737366586518e-09,2.221899064877209e-09,1.5338427042306103e-09,2.805740369107192e-08
43.524,1.2798349222591684e-08,2.301060648346676e-09,9.247276841481614e-09,9.96528552454186e-09,5.276037172083776e-09,5.741329652170781e-09,3.750510012360677e-09,1.990819639810104e-09,1.4813381833489784e-09,3.2060566311996426e-08
43.774,2.0074149513548998e-08,2.5025332764244876e-09,1.3200658150186497e-08,1.2669986860765455e-08,3.756913334697373e-09,4.943487267937419e-09,3.252761458251005e-09,1.6907258096864125e-09,1.556038713150555e-09,3.7347224074581485e-08
44.024,2.137743143062189e-08,2.1364831581666126e-09,1.4271946664299445e-08,1.2039231413103276e-08,2.695385564990032e-09,4.1750939234152765e-09,2.6608953887846576e-09,1.514198534630621e-09,1.6701053719659374e-09,3.6405923350604196e-08
44.274,1.751054011250575e-08,1.4319234485247714e-09,1.270013692683275e-08,1.1301373454044133e-08,2.371455352416682e-09,3.91467164952566e-09,2.4703055858119013e-09,1.4443660637137587e-09,1.69522437749622e-09,3.289318733305739e-08
44.524,1.4332419239835685e-08,1.4880490354858193e-09,1.1928377186087468e-08,1.3104382230252283e-08,3.201925034545726e-09,4.426322485960854e-09,3.0520094986752913e-09,1.3743129872855628e-09,1.6627766309478094e-09,3.482105217024524e-08
44.774,1.2884550240583987e-08,2.0387642994270523e-09,1.2010490492540276e-08,1.5849728043969655e-08,4.407670030136995e-09,4.9708861895876726e-09,3.709902884847627e-09,1.2609833047400468e-09,1.7039224865578957e-09,3.936161393193999e-08
45.024,1.0925771841239834e-08,1.9899909163500896e-09,1.0720765907771538e-08,1.6839701912077317e-08,4.426656870461404e-09,4.8866467235434496e-09,3.6997667001991273e-09,1.1868800233443216e-09,1.836305388000159e-09,3.947057264722897e-08
45.274,8.918809060575201e-09,1.510914728723024e-09,8.439085456333835e-09,1.595357651294248e-08,3.770636601122092e-09,4.797994136408962e-09,3.5330022017045826e-09,1.2649919347043808e-09,1.8595512499993875e-09,3.7019609872728176e-08
45.524,7.526166407463188e-09,1.492854530635592e-09,7.891576216256621e-09,1.3604716097860374e-08,3.5588732567299373e-09,5.314873484278938e-09,3.842142140601653e-09,1.472731343677286e-09,1.5878760978846788e-09,3.5109734463091265e-08
45.774,6.959484303410137e-09,2.0882129299552675e-09,9.744183728780825e-09,1.0061784742873961e-08,3.4519930051693688e-09,5.90251825413658e-09,4.113200256898647e-09,1.789317997237934e-09,1.1646107026135998e-09,3.222853029282207e-08
46.024,7.260268133686346e-09,2.617686373217817e-09,1.0808770021206948e-08,7.153573833052342e-09,2.821669197481551e-09,5.760406971371892e-09,3.619996962964483e-09,2.1404100084074067e-09,9.31810195857134e-10,2.802857483798224e-08
46.274,8.021652794860494e-09,2.7230821793418366e-09,1.0257563270521544e-08,6.370876745233667e-09,2.5267842581469523e-09,4.973741106540045e-09,2.612048679117952e-09,2.361692427422093e-09,9.619666906903162e-10,2.555570465023393e-08
46.524,9.903691220401963e-09,2.5298871124415133e-09,1.0640128336856716e-08,7.143965494916705e-09,3.682040409334598e-09,3.956775347393033e-09,1.6869684043541713e-09,2.269806943038862e-09,1.052563205135794e-09,2.7759687620078418e-08
46.774,1.4046852974634867e-08,2.346629702945392e-09,1.335933554755539e-08,7.660066526050927e-09,5.328069709622639e-09,3.2346859079681474e-09,1.3170849810520298e-09,1.9176009269161175e-09,1.093020296924645e-09,3.305576276404959e-08
47.024,1.7015847474207044e-08,2.3467879461748254e-09,1.5969050370439935e-08,7.143445417179873e-09,5.908738929842406e-09,3.2048730643238554e-09,1.606320875906436e-09,1.598552188417419e-09,1.2334306747921032e-09,3.526400708480686e-08
47.274,1.4545839106819338e-08,2.3081427944005914e-09,1.4468436835730997e-08,6.313914896117443e-09,5.8213000697978534e-09,3.740340924879582e-09,2.2204784574835457e-09,1.5198624673960373e-09,1.5276574002439396e-09,3.287354006198096e-08
47.524,8.208129244296848e-09,2.3147308174034733e-09,8.99801319769782e-09,6.081017777678234e-09,6.112375910501733e-09,4.8128891660059085e-09,3.1039691489567322e-09,1.7089200170491784e-09,1.6634323687476392e-09,2.881030968448033e-08
47.774,3.5202541423744058e-09,2.33236195730127e-09,3.880201173508973e-09,8.417278044021518e-09,5.846779831689298e-09,6.392352486475431e-09,4.459689354252423e-09,1.9326631322230064e-09,1.4905633977826019e-09,2.6682230942200355e-08
48.024,1.945724949860399e-09,2.2620818173050993e-09,1.8886845583511976e-09,1.2496028327441256e-08,4.221140860468222e-09,7.404181090280746e-09,5.476850691510189e-09,1.9273303987705585e-09,1.3051225892886138e-09,2.760853624543389e-08
48.274,1.8184248033418776e-09,2.009228744854837e-09,2.1208276543209108e-09,1.5206339299205508e-08,3.0206548805390853e-09,6.686968232775429e-09,4.94814103419432e-09,1.73882719858111e-09,1.3500560428055424e-09,2.9782350891966802e-08
48.524,2.4738364174396618e-09,1.5278176078236962e-09,3.358917184718597e-09,1.4655378296951751e-08,4.319644847041423e-09,4.896911629678123e-09,3.2189987524336234e-09,1.6779128772444991e-09,1.5309712318420872e-09,3.055231061683774e-08
48.774,3.6740604495011735e-09,1.0002175341893142e-09,4.3411794558538165e-09,1.1594684148101889e-08,6.666825832504064e-09,3.774897957272977e-09,1.9098574329595097e-09,1.8650405243134676e-09,1.6896917601817998e-09,2.9444329098372988e-08
49.024,4.1227496884336025e-09,8.421607396203516e-10,5.0749480484046754e-09,7.89233210789511e-09,7.508192710175204e-09,3.670599947827806e-09,1.6068488905686063e-09,2.0637510572592e-09,1.790983318071719e-09,2.725475739209145e-08
49.274,4.443165542315528e-09,1.2752711902948444e-09,7.596789293504358e-09,5.419945552499789e-09,7.008562538143271e-09,3.799932753930387e-09,1.7854952500499408e-09,2.0144375038804465e-09,1.818005802611797e-09,2.6388917502062132e-08
49.524,6.401356382549362e-09,2.0446114210205053e-09,1.0517022799487863e-08,6.636595923699216e-09,6.160518160570187e-09,4.064773764280097e-09,2.2101563396548733e-09,1.854617424625225e-09,1.7443092304280807e-09,2.955650238642833e-08
49.774,8.740323535006985e-09,2.4883772022925195e-09,1.1319261655406807e-08,1.0182248966238836e-08,4.852589816629126e-09,4.547202471872234e-09,2.685928633059029e-09,1.8612738388132048e-09,1.6382282137155019e-09,3.307990181087996e-08
50.024,9.780719486695812e-09,2.3766799887925515e-09,1.1588726140622545e-08,1.1902165065740375e-08,3.4292418843941023e-09,5.050719043760068e-09,3.0022500208069827e-09,2.048469022953084e-09,1.5995520390359025e-09,3.412494975009742e-08
50.274,1.0070603313248822e-08,2.0054253402341e-09,1.1589666442485782e-08,1.1039388314060512e-08,3.1969911615983954e-09,5.662565077323413e-09,3.304818479238176e-09,2.357746598085237e-09,1.5733142357523336e-09,3.488196472844508e-08
50.524,9.425973722534864e-09,1.843173037283878e-09,1.0236242107556008e-08,1.0231410389023832e-08,3.58227537128551e-09,6.611980283331436e-09,3.940301728312833e-09,2.6716785550186028e-09,1.4583478028134832e-09,3.397390253189537e-08
50.774,6.473648642654494e-09,2.3221017148575607e-09,6.307927038272588e-09,9.795558602811084e-09,3.9230392210721935e-09,7.514471300049232e-09,4.705732870683543e-09,2.808738429365691e-09,1.4328377778235286e-09,2.958901316645959e-08
51.024,4.0014452340518645e-09,3.5474148509448456e-09,3.1821768802959284e-09,8.034974252077212e-09,5.024378089619305e-09,7.64434557330544e-09,4.9709546474352975e-09,2.6733909258701434e-09,1.681824208485273e-09,2.5827469625825615e-08
51.274,5.065569014885272e-09,4.676046941681914e-09,3.2853884705628447e-09,7.181707045631772e-09,6.10738446139318e-09,6.957854111841592e-09,4.625185036970356e-09,2.3326690748712374e-09,2.0003241509393666e-09,2.5734397101229485e-08
51.524,9.1247391158857e-09,4.852619095017098e-09,4.108849765113175e-09,9.640299839734589e-09,5.747940761444778e-09,6.054929850432014e-09,4.036196420163085e-09,2.018733430268929e-09,2.1595537834460104e-09,2.7922444748936552e-08
51.774,1.522885085361783e-08,4.391679699960882e-09,6.995478179758747e-09,1.2535577753744608e-08,4.330439827334522e-09,5.601244415659751e-09,3.810108404699468e-09,1.7911360109602821e-09,2.2123983303477824e-09,3.2001717630314125e-08
52.024,2.2248420600508984e-08,4.031667308681864e-09,1.3048583921326024e-08,1.2589885777496555e-08,3.410548770596529e-09,5.49705910822503e-09,3.9667609304153525e-09,1.5302981778096788e-09,2.162917567342763e-09,3.730027337963458e-08
52.274,2.5438867014053714e-08,3.6815817242848942e-09,1.7505646139046537e-08,1.012280755706935e-08,3.420300856436793e-09,5.082107549160118e-09,3.81109002031717e-09,1.271017528842947e-09,1.971938399969912e-09,3.84739848651018e-08
52.524,2.045274728706232e-08,3.5346188465235873e-09,1.5183520181571043e-08,7.112773526492025e-09,4.243396488617599e-09,4.520413109504913e-09,3.1486180437727255e-09,1.371795065732186e-09,1.8453258602200582e-09,3.3159622417687185e-08
52.774,1.0665172025444236e-08,4.129821772682549e-09,9.545629766993564e-09,4.627835995882699e-09,5.812527413537991e-09,4.656568776176119e-09,2.6091443595894433e-09,2.047424416586674e-09,1.885756677340342e-09,2.7031786606195608e-08
53.024,4.0938246379406344e-09,4.793472772805437e-09,7.759845906324913e-09,2.942514674271782e-09,7.540420815619825e-09,5.599464493994347e-09,2.8308879974266694e-09,2.768576496567676e-09,1.8734435379618983e-09,2.615261534034052e-08
53.274,3.6778228667638355e-09,4.59028205764295e-09,8.759296887783445e-09,2.6992533897375585e-09,8.320572639948028e-09,6.387088800237806e-09,3.7165046177360936e-09,2.6705841825017136e-09,1.6932759230939694e-09,2.899341881784292e-08
53.524,8.453259520742647e-09,3.925860566481535e-09,1.0044865063991187e-08,5.078177354781322e-09,7.674603386505627e-09,6.2747225667085504e-09,4.41155682645394e-09,1.8631657402546107e-09,1.5021198470119272e-09,3.1886776758299226e-08
53.774,1.652199050480003e-08,3.71659338677683e-09,1.0383361317811715e-08,1.293144518499368e-08,6.5620591932244215e-09,5.565693600308404e-09,4.302644404141249e-09,1.263049196167155e-09,1.3913491003568427e-09,3.72150793255863e-08
54.024,2.4443846923422922e-08,3.936430011715523e-09,9.719938731678968e-09,2.6083427120564257e-08,5.932696407389922e-09,4.9956880540991725e-09,3.621281782205887e-09,1.3744062718932857e-09,1.3410543046621868e-09,4.8325518403015845e-08
54.274,3.007470196530056e-08,3.861715282467593e-09,1.1196521471049845e-08,3.453502603801184e-08,5.397970530185473e-09,5.079849900813811e-09,2.9579232281616504e-09,2.1219266726521596e-09,1.3614026271460391e-09,5.794716816422452e-08
54.524,2.9703564307315113e-08,3.1012341722750414e-09,1.3550449220694985e-08,2.9433643306344678e-08,4.261583557936158e-09,5.458053666808612e-09,2.4794942168166672e-09,2.978559449991945e-09,1.4240080907693178e-09,5.452615183294373e-08
54.774,2.1021542897829345e-08,1.9527391110801146e-09,1.2452817065882048e-08,1.6203249522265358e-08,2.6100468012329093e-09,5.526210564268201e-09,2.2761871871156417e-09,3.2500233771525594e-09,1.4409053275998207e-09,3.872455917530697e-08
55.024,1.0595413025453728e-08,1.1287228553823494e-09,1.0211978173881771e-08,6.510199801223973e-09,1.7681673286661285e-09,5.062127762495967e-09,2.243151512384175e-09,2.8189762501117932e-09,1.4311392578960284e-09,2.5182195378612375e-08
55.274,8.660636107903855e-09,1.6785862657308437e-09,1.2223377510699614e-08,3.609720100794138e-09,3.0595013311058044e-09,4.6977961827406785e-09,2.3375899238743953e-09,2.360206258866283e-09,1.4799814251127614e-09,2.5553813114134207e-08
55.524,1.2260415703611646e-08,3.79416833040739e-09,1.5558685601055012e-08,3.3030914190947887e-09,5.502922736105917e-09,5.324547849818983e-09,3.123118588221836e-09,2.201429261597146e-09,1.5276773196443854e-09,3.210171321259364e-08
55.774,1.2452345547912381e-08,6.170915323746178e-09,1.4484402267443286e-08,2.8961527205465285e-09,7.770439526716364e-09,6.801526592456973e-09,4.7894422495677454e-09,2.012084342889227e-09,1.5465439780558185e-09,3.3893106783502914e-08
56.024,9.050312851899329e-09,7.114633870871973e-09,9.683177490578549e-09,2.198076270410128e-09,9.77476683758175e-09,7.786126085275988e-09,5.955084875563487e-09,1.8310412097125017e-09,1.7791463397574554e-09,3.159842243343174e-08
56.274,6.974055682382003e-09,6.073426906859503e-09,6.467196165167632e-09,2.3698858293247665e-09,1.1492487975482866e-08,7.720630258700796e-09,5.628113382763258e-09,2.092516875937535e-09,2.212280150866662e-09,3.068239518964905e-08
56.524,8.911423277059686e-09,4.062159994709298e-09,6.880964561828765e-09,3.945023150165113e-09,1.158846505072787e-08,7.558053734266979e-09,4.689649167758216e-09,2.868404566508763e-09,2.460011293453318e-09,3.263640810090412e-08
56.774,1.4027845146089963e-08,2.5119839910219523e-09,9.200270731855409e-09,7.226381083845444e-09,9.738957811022549e-09,7.380161839295326e-09,3.957970176788834e-09,3.4221916625064926e-09,2.528907419411813e-09,3.6305290140081e-08
57.024,1.8113698584114843e-08,1.740255925605533e-09,1.0452612326083542e-08,1.055126973834076e-08,7.6073644801738e-09,6.260731380854268e-09,3.042498548926412e-09,3.2182328319278552e-09,2.7041167904559063e-09,3.799044493977561e-08
57.274,1.686499613484159e-08,1.4599318037379228e-09,9.807521910359702e-09,1.003707769821788e-08,5.97608859298824e-09,4.5522745311516606e-09,2.0890326427914702e-09,2.4632418883601916e-09,2.8079453383653206e-09,3.391965460792716e-08
57.524,1.3144301481411245e-08,1.402032740954606e-09,9.818351194833829e-09,6.0005467817195696e-09,4.582737731518871e-09,3.794532897459348e-09,2.0321925065182066e-09,1.7623403909411413e-09,2.548043771680979e-09,2.7418602251836336e-08
57.774,1.2162313617483437e-08,1.4372086975539664e-09,1.1620461645562818e-08,2.6443895308099814e-09,3.7726761366903565e-09,4.2887685723389656e-09,2.695433670449295e-09,1.5933349018896695e-09,2.185520322355737e-09,2.4919963342160877e-08
58.024,1.2722534011911156e-08,1.2641700930097057e-09,1.2520802084442716e-08,2.103286232823308e-09,3.975982769065617e-09,4.727152540853094e-09,2.7612403806694277e-09,1.9659121601836663e-09,2.0592863839194326e-09,2.5771408556650082e-08
58.274,1.0689864647311811e-08,9.820794968856036e-10,1.0547467899037404e-08,2.4559433756498396e-09,4.6823693280188825e-09,4.3241999928193514e-09,1.882307966192975e-09,2.441892026626375e-09,1.9741874488910174e-09,2.4474322979350946e-08
58.524,6.943065168993668e-09,9.790807638862889e-10,7.538085715148232e-09,2.774515763096047e-09,5.3267917356066124e-09,3.4977584034407343e-09,1.0769946799784817e-09,2.420763723462252e-09,1.8167939336880113e-09,2.1462563375117644e-08
58.774,4.75959958765055e-09,1.890865422462053e-09,5.564638480750021e-09,3.4114615823589546e-09,5.567527338390295e-09,3.6853405248194875e-09,1.484067402251167e-09,2.2012731225683206e-09,1.765814454601561e-09,2.0759546277563356e-08
59.024,4.578591501255726e-09,3.564586639131662e-09,4.88375719555812e-09,4.021864974955219e-09,4.850672656428614e-09,5.556067044985728e-09,3.0225264093319923e-09,2.533540635653735e-09,1.8373682910274504e-09,2.1818982783004148e-08
59.274,4.742116712111969e-09,4.520558207083012e-09,5.43630486529816e-09,3.964943950217635e-09,3.4228295457197437e-09,7.186223634729543e-09,4.201005468717044e-09,2.9852181660124994e-09,1.8234879139649927e-09,2.2089952469142872e-08
